Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-4,-8,6,17,23,11,-5,-128
17,2,7,22,19,7,6,-128
-1,-8,-7,66,-30,-6,0,-128
2,-2,-18,-110,-12,1,-1,-128
-1,3,-4,-31,31,3,-5,-128
-7,4,-1,-46,-18,-2,-1,-128
-1,3,9,-32,6,1,-5,-128
-1,-27,-7,6,-18,-5,-6,-128
-5,5,-5,7,-3,-6,-1,-128
0,1,-4,-14,-13,-6,0,-128
2,-2,-14,-5,-17,-4,0,-128
-1,0,-2,1,19,2,-2,-128
-3,0,13,2,3,3,-1,-128
-6,-4,-11,-18,-29,-10,-6,-128
7,7,8,1,-22,-4,1,-128
2,4,31,24,27,-1,5,-128
-12,-6,-29,-52,-7,-4,-6,-128
-8,1,-2,-3,-5,-7,-2,-128
5,-4,-1,14,8,1,2,-128
1,0,-7,0,3,1,0,-128
-1,-8,-4,-11,-10,-3,-9,-128
7,6,9,-5,-16,-2,-3,-128
-4,-9,2,-2,-13,-8,-7,-128
2,-2,4,30,50,0,-1,-128
-8,-11,17,-6,-7,1,6,-128
-5,-9,6,-5,13,5,6,-128
2,11,-64,-38,-18,-4,3,-128
4,5,7,-29,-18,-6,0,-128
3,-5,-33,-4,-10,-5,-10,-128
-9,-20,-6,33,21,3,-3,-128
0,-2,6,9,-21,-6,-2,-128
-5,2,9,-7,8,-2,2,-128
0,12,2,77,-6,0,-1,-128
-2,-10,-5,-76,-12,-5,0,-128
3,7,1,-5,-1,-1,4,-128
-3,1,11,-81,-65,-14,-10,-128
-5,-4,21,-11,-14,-4,-2,-128
0,-9,-92,92,127,24,9,-128
1,-5,-9,-1,-9,-3,-4,-128
-1,-3,-2,0,-17,-4,-5,-128
-9,-7,44,-14,-23,-9,-7,-128
-3,4,-105,-10,-33,-7,-9,-128
7,-1,5,5,1,-5,-1,-128
3,-4,13,5,-2,-1,0,-128
9,14,-1,-11,-12,0,-5,-128
-1,-15,-11,-5,3,-2,-4,-128
-4,0,7,-31,-3,2,6,-128
-6,-12,2,-29,-25,-12,-4,-128
-1,1,-7,17,12,5,6,-128
0,0,-13,4,5,-2,-1,-128
-4,-2,9,22,-26,-4,4,-128
-8,1,-12,-38,-18,1,-1,-128
5,0,16,7,33,-3,-10,-128
11,6,10,17,1,-2,-15,-128
-3,2,14,9,-1,-6,-9,-128
-8,-2,-23,-14,0,-3,1,-128
