Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
0,-4,-34,-4,1,-2,1,-128
-1,-4,22,-2,1,1,0,-128
0,2,-17,-1,1,-1,1,-128
-1,-5,-12,-2,-4,-5,-2,-128
0,-3,7,4,-5,0,0,-128
0,0,-13,0,1,0,1,-128
-1,1,10,0,-3,-2,-3,-128
-5,-1,4,-8,-4,0,-5,-128
-2,4,13,0,-1,-2,0,-128
-1,-1,45,0,-3,0,-2,-128
-4,-12,-93,-4,-4,-4,-4,-128
-3,-5,-9,-4,0,0,0,-128
-4,-2,1,-1,-2,-2,-4,-128
2,-2,1,-2,0,-6,2,-128
-2,0,18,1,-3,-3,-1,-128
-2,1,5,2,3,-4,-2,-128
-1,1,-1,-7,-1,-2,2,-128
-3,-3,3,0,2,3,0,-128
-2,-4,-11,-4,-5,2,-2,-128
1,-2,-13,-1,3,0,-2,-128
0,3,24,1,-3,-5,-3,-128
-1,-1,0,2,2,-2,-2,-128
-1,-1,-7,-3,-6,-1,-2,-128
-2,0,-6,2,-2,1,-3,-128
-2,-3,-1,-2,-3,1,-2,-128
-2,-1,-31,0,-4,2,1,-128
1,3,32,2,0,1,0,-128
-3,1,39,-2,-7,-7,-2,-128
-5,-11,-46,-11,-9,-3,0,-128
0,1,4,-4,1,0,-2,-128
-1,2,4,-2,1,-1,-1,-128
-3,-2,7,3,0,-1,-5,-128
-5,-3,-5,7,-2,-1,-1,-128
-1,2,-5,-20,-6,-5,-4,-128
0,-3,2,0,0,-1,1,-128
-2,-2,7,1,-4,-2,0,-128
-2,7,24,-1,1,-1,-2,-128
-2,-5,-48,-2,-1,0,-2,-128
-5,-8,-11,-3,-6,0,-4,-128
-2,-2,9,-1,-3,-3,-4,-128
2,-1,-3,-2,4,-2,0,-128
0,2,8,-1,-2,-1,-1,-128
-2,-3,-14,-1,1,-4,-2,-128
0,0,6,1,-4,-3,-1,-128
-3,-2,-14,1,-3,0,-3,-128
1,2,-5,-7,-3,-2,-4,-128
-3,-5,44,-3,1,0,0,-128
